commit,conf_high,conf_medium,conf_low,sev_high,sev_medium,sev_low,unique_cwes
a7bce39,7080,5,4,4,64,7021,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
7e578a2,7080,5,4,4,64,7021,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
186183c,7080,5,4,4,64,7021,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
42e7aa8,7080,5,4,4,64,7021,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
62b2e23,7080,5,4,4,64,7021,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
c74b875,7080,5,4,4,64,7021,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
191bdbf,7080,5,4,4,64,7021,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
bf52a0a,7080,5,4,4,64,7021,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
2605370,7080,5,4,4,64,7021,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
08e2c53,7080,5,4,4,64,7021,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
038a80f,7080,5,4,4,64,7021,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
51ca364,7080,5,4,4,64,7021,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
c2ce723,7080,5,4,4,64,7021,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
a665a43,7077,5,4,4,64,7018,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
28c0067,7077,5,4,4,64,7018,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
eefcb11,7077,5,4,4,64,7018,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
aa5c79e,7077,5,4,4,64,7018,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
08ed01f,7077,5,4,4,64,7018,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
7770304,7077,5,4,4,64,7018,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
5691f26,7077,5,4,4,64,7018,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
fe84bcb,7077,5,4,4,64,7018,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
b5047ac,7078,5,4,4,64,7019,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
3b1a8ca,7078,5,4,4,64,7019,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
08eebc6,7081,5,4,4,64,7022,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
73ce131,7081,5,4,4,64,7022,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
25006cd,7081,5,4,4,64,7022,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
5b0ca39,7081,5,4,4,64,7022,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
36ad7b3,7081,5,4,4,64,7022,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
e520b8b,7081,5,4,4,64,7022,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
f15ddc0,7081,5,4,4,64,7022,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
1ab1ead,7081,5,4,4,64,7022,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
4f7b3e0,7081,5,4,4,64,7022,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
ae15ed5,7081,5,4,4,64,7022,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
2707099,7081,5,4,4,64,7022,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
10253eb,7083,5,4,4,64,7024,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
b680a1a,7083,5,4,4,64,7024,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
d2e123d,7083,5,4,4,64,7024,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
311bf6b,7083,5,4,4,64,7024,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
9a53acf,7083,5,4,4,64,7024,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
c9f9b04,7111,5,4,4,64,7052,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
2e8a918,7111,5,4,4,64,7052,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
7ba2002,7111,5,4,4,64,7052,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
3060384,7117,5,4,4,64,7058,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
8f1a1ed,7117,5,4,4,64,7058,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
f90d3a7,7117,5,4,4,64,7058,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
a7d87e0,7117,5,4,4,64,7058,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
1467463,7117,5,4,4,64,7058,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
9312206,7117,5,4,4,64,7058,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
119ade2,7117,5,4,4,64,7058,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
2dae588,7117,5,4,4,64,7058,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
e36f66a,7117,5,4,4,64,7058,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
5bb2a46,7117,5,4,4,64,7058,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
f09c7d9,7117,5,4,4,64,7058,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
61077dc,7117,5,4,4,64,7058,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
b9be6d3,7117,5,4,4,64,7058,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
fe25b5e,7117,5,4,4,64,7058,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
d43236c,7117,5,4,4,64,7058,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
43d440f,7117,5,4,4,64,7058,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
8f2c1ca,7117,5,4,4,64,7058,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
e364056,7117,5,4,4,64,7058,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
fef4701,7117,5,4,4,64,7058,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
9a749bd,7117,5,4,4,64,7058,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
